Team_A,Date_A,W/L_A,Home/Away_A,Score_A,FG%_A,FGM_A,FGA_A,3P%_A,3PM_A,3PA_A,FT%_A,FTM_A,FTA_A,REB_A,OREB_A,DREB_A,AST_A,STL_A,BLK_A,TOV_A,PF_A,PTS_A,Opponent_A,Team_B,Date_B,W/L_B,Home/Away_B,Score_B,FG%_B,FGM_B,FGA_B,3P%_B,3PM_B,3PA_B,FT%_B,FTM_B,FTA_B,REB_B,OREB_B,DREB_B,AST_B,STL_B,BLK_B,TOV_B,PF_B,PTS_B,Opponent_B
DEN,2018-04-11,0,0,MIN112-106DEN,0.456,41,90,0.406,13,32,0.611,11,18,47,10,37,19,4,4,15,22,106,MIN,MIN,2018-04-11,1,1,DEN106-112MIN,0.472,42,89,0.391,9,23,0.760,19,25,40,8,32,24,10,2,8,19,112,DEN
WAS,2018-04-11,0,0,ORL101-92WAS,0.347,33,95,0.294,10,34,0.593,16,27,50,18,32,17,5,1,12,25,92,ORL,ORL,2018-04-11,1,1,WAS92-101ORL,0.429,33,77,0.406,13,32,0.815,22,27,42,6,36,20,6,7,16,27,101,WAS
MIN,2018-04-11,1,1,DEN106-112MIN,0.472,42,89,0.391,9,23,0.760,19,25,40,8,32,24,10,2,8,19,112,DEN,DEN,2018-04-11,0,0,MIN112-106DEN,0.456,41,90,0.406,13,32,0.611,11,18,47,10,37,19,4,4,15,22,106,MIN
LAL,2018-04-11,1,0,LAC100-115LAL,0.477,42,88,0.436,17,39,0.875,14,16,49,10,39,25,8,6,17,23,115,LAC,LAC,2018-04-11,0,1,LAL115-100LAC,0.494,41,83,0.333,6,18,0.429,12,28,41,8,33,27,8,1,17,17,100,LAL
LAC,2018-04-11,0,1,LAL115-100LAC,0.494,41,83,0.333,6,18,0.429,12,28,41,8,33,27,8,1,17,17,100,LAL,LAL,2018-04-11,1,0,LAC100-115LAL,0.477,42,88,0.436,17,39,0.875,14,16,49,10,39,25,8,6,17,23,115,LAC
POR,2018-04-11,1,1,UTA93-102POR,0.461,41,89,0.375,9,24,0.688,11,16,46,7,39,19,9,9,10,22,102,UTA,UTA,2018-04-11,0,0,POR102-93UTA,0.371,33,89,0.348,8,23,0.792,19,24,53,14,39,18,5,7,15,19,93,POR
HOU,2018-04-11,0,0,SAC96-83HOU,0.378,31,82,0.283,13,46,0.667,8,12,40,8,32,11,2,6,14,24,83,SAC,SAC,2018-04-11,1,1,HOU83-96SAC,0.475,38,80,0.269,7,26,0.650,13,20,48,6,42,22,6,3,11,14,96,HOU
ORL,2018-04-11,1,1,WAS92-101ORL,0.429,33,77,0.406,13,32,0.815,22,27,42,6,36,20,6,7,16,27,101,WAS,WAS,2018-04-11,0,0,ORL101-92WAS,0.347,33,95,0.294,10,34,0.593,16,27,50,18,32,17,5,1,12,25,92,ORL
MIA,2018-04-14,0,0,PHI130-103MIA,0.455,35,77,0.462,12,26,0.677,21,31,41,9,32,25,4,6,18,25,103,PHI,PHI,2018-04-14,1,1,MIA103-130PHI,0.474,45,95,0.643,18,28,0.759,22,29,50,17,33,34,9,4,11,23,130,MIA
GSW,2018-04-14,1,1,SAS92-113GSW,0.543,44,81,0.455,10,22,0.682,15,22,51,10,41,32,6,6,15,18,113,SAS,SAS,2018-04-14,0,0,GSW113-92SAS,0.400,32,80,0.409,9,22,0.792,19,24,30,3,27,19,9,4,13,20,92,GSW
SAS,2018-04-14,0,0,GSW113-92SAS,0.400,32,80,0.409,9,22,0.792,19,24,30,3,27,19,9,4,13,20,92,GSW,GSW,2018-04-14,1,1,SAS92-113GSW,0.543,44,81,0.455,10,22,0.682,15,22,51,10,41,32,6,6,15,18,113,SAS
PHI,2018-04-14,1,1,MIA103-130PHI,0.474,45,95,0.643,18,28,0.759,22,29,50,17,33,34,9,4,11,23,130,MIA,MIA,2018-04-14,0,0,PHI130-103MIA,0.455,35,77,0.462,12,26,0.677,21,31,41,9,32,25,4,6,18,25,103,PHI
NOP,2018-04-14,1,0,POR95-97NOP,0.477,41,86,0.333,8,24,0.700,7,10,49,7,42,26,8,12,15,17,97,POR,POR,2018-04-14,0,1,NOP97-95POR,0.378,37,98,0.308,12,39,0.750,9,12,52,15,37,17,10,6,12,15,95,NOP
TOR,2018-04-14,1,1,WAS106-114TOR,0.532,41,77,0.533,16,30,0.800,16,20,38,5,33,26,6,7,17,18,114,WAS,WAS,2018-04-14,0,0,TOR114-106WAS,0.477,41,86,0.381,8,21,0.889,16,18,35,6,29,29,11,3,14,21,106,TOR
WAS,2018-04-14,0,0,TOR114-106WAS,0.477,41,86,0.381,8,21,0.889,16,18,35,6,29,29,11,3,14,21,106,TOR,TOR,2018-04-14,1,1,WAS106-114TOR,0.532,41,77,0.533,16,30,0.800,16,20,38,5,33,26,6,7,17,18,114,WAS
POR,2018-04-14,0,1,NOP97-95POR,0.378,37,98,0.308,12,39,0.750,9,12,52,15,37,17,10,6,12,15,95,NOP,NOP,2018-04-14,1,0,POR95-97NOP,0.477,41,86,0.333,8,24,0.700,7,10,49,7,42,26,8,12,15,17,97,POR
MIL,2018-04-15,0,0,BOS113-107MIL,0.482,40,83,0.381,8,21,0.792,19,24,42,5,37,22,8,8,20,31,107,BOS,BOS,2018-04-15,1,1,MIL107-113BOS,0.415,39,94,0.423,11,26,0.889,24,27,45,11,34,20,8,5,15,21,113,MIL
BOS,2018-04-15,1,1,MIL107-113BOS,0.415,39,94,0.423,11,26,0.889,24,27,45,11,34,20,8,5,15,21,113,MIL,MIL,2018-04-15,0,0,BOS113-107MIL,0.482,40,83,0.381,8,21,0.792,19,24,42,5,37,22,8,8,20,31,107,BOS
IND,2018-04-15,1,0,CLE80-98IND,0.456,36,79,0.393,11,28,0.600,15,25,44,8,36,19,12,4,11,21,98,CLE,CLE,2018-04-15,0,1,IND98-80CLE,0.385,30,78,0.235,8,34,0.600,12,20,46,9,37,21,7,4,17,23,80,IND
UTA,2018-04-15,0,0,OKC116-108UTA,0.471,41,87,0.393,11,28,0.750,15,20,42,9,33,18,10,7,14,21,108,OKC,OKC,2018-04-15,1,1,UTA108-116OKC,0.482,41,85,0.483,14,29,0.870,20,23,46,9,37,16,8,5,17,19,116,UTA
HOU,2018-04-15,1,1,MIN101-104HOU,0.470,39,83,0.270,10,37,0.696,16,23,37,8,29,15,8,8,11,19,104,MIN,MIN,2018-04-15,0,0,HOU104-101MIN,0.438,35,80,0.348,8,23,0.821,23,28,47,11,36,22,3,2,14,19,101,HOU
MIN,2018-04-15,0,0,HOU104-101MIN,0.438,35,80,0.348,8,23,0.821,23,28,47,11,36,22,3,2,14,19,101,HOU,HOU,2018-04-15,1,1,MIN101-104HOU,0.470,39,83,0.270,10,37,0.696,16,23,37,8,29,15,8,8,11,19,104,MIN
OKC,2018-04-15,1,1,UTA108-116OKC,0.482,41,85,0.483,14,29,0.870,20,23,46,9,37,16,8,5,17,19,116,UTA,UTA,2018-04-15,0,0,OKC116-108UTA,0.471,41,87,0.393,11,28,0.750,15,20,42,9,33,18,10,7,14,21,108,OKC
CLE,2018-04-15,0,1,IND98-80CLE,0.385,30,78,0.235,8,34,0.600,12,20,46,9,37,21,7,4,17,23,80,IND,IND,2018-04-15,1,0,CLE80-98IND,0.456,36,79,0.393,11,28,0.600,15,25,44,8,36,19,12,4,11,21,98,CLE
SAS,2018-04-16,0,0,GSW116-101SAS,0.412,35,85,0.143,4,28,0.900,27,30,35,9,26,16,10,2,9,21,101,GSW,GSW,2018-04-16,1,1,SAS101-116GSW,0.526,41,78,0.484,15,31,0.950,19,20,39,6,33,32,5,5,15,24,116,SAS
PHI,2018-04-16,0,1,MIA113-103PHI,0.417,40,96,0.194,7,36,0.727,16,22,49,17,32,22,7,5,15,26,103,MIA,MIA,2018-04-16,1,0,PHI103-113MIA,0.488,40,82,0.360,9,25,0.800,24,30,46,11,35,23,8,7,15,27,113,PHI
MIA,2018-04-16,1,0,PHI103-113MIA,0.488,40,82,0.360,9,25,0.800,24,30,46,11,35,23,8,7,15,27,113,PHI,PHI,2018-04-16,0,1,MIA113-103PHI,0.417,40,96,0.194,7,36,0.727,16,22,49,17,32,22,7,5,15,26,103,MIA
GSW,2018-04-16,1,1,SAS101-116GSW,0.526,41,78,0.484,15,31,0.950,19,20,39,6,33,32,5,5,15,24,116,SAS,SAS,2018-04-16,0,0,GSW116-101SAS,0.412,35,85,0.143,4,28,0.900,27,30,35,9,26,16,10,2,9,21,101,GSW
MIL,2018-04-17,0,0,BOS120-106MIL,0.597,46,77,0.412,7,17,0.412,7,17,38,7,31,19,3,4,15,19,106,BOS,BOS,2018-04-17,1,1,MIL106-120BOS,0.533,48,90,0.419,13,31,0.611,11,18,38,9,29,24,10,6,7,16,120,MIL
TOR,2018-04-17,1,1,WAS119-130TOR,0.517,45,87,0.371,13,35,0.818,27,33,48,9,39,24,5,8,14,27,130,WAS,WAS,2018-04-17,0,0,TOR130-119WAS,0.488,42,86,0.455,10,22,0.893,25,28,34,4,30,26,7,3,9,24,119,TOR
WAS,2018-04-17,0,0,TOR130-119WAS,0.488,42,86,0.455,10,22,0.893,25,28,34,4,30,26,7,3,9,24,119,TOR,TOR,2018-04-17,1,1,WAS119-130TOR,0.517,45,87,0.371,13,35,0.818,27,33,48,9,39,24,5,8,14,27,130,WAS
POR,2018-04-17,0,1,NOP111-102POR,0.451,41,91,0.375,12,32,0.800,8,10,45,13,32,20,5,4,16,20,102,NOP,NOP,2018-04-17,1,0,POR102-111NOP,0.512,43,84,0.500,12,24,0.684,13,19,43,10,33,25,4,4,14,17,111,POR
NOP,2018-04-17,1,0,POR102-111NOP,0.512,43,84,0.500,12,24,0.684,13,19,43,10,33,25,4,4,14,17,111,POR,POR,2018-04-17,0,1,NOP111-102POR,0.451,41,91,0.375,12,32,0.800,8,10,45,13,32,20,5,4,16,20,102,NOP
BOS,2018-04-17,1,1,MIL106-120BOS,0.533,48,90,0.419,13,31,0.611,11,18,38,9,29,24,10,6,7,16,120,MIL,MIL,2018-04-17,0,0,BOS120-106MIL,0.597,46,77,0.412,7,17,0.412,7,17,38,7,31,19,3,4,15,19,106,BOS
OKC,2018-04-18,0,1,UTA102-95OKC,0.400,36,90,0.314,11,35,0.667,12,18,46,10,36,22,11,4,13,25,95,UTA,UTA,2018-04-18,1,0,OKC95-102UTA,0.417,35,84,0.310,9,29,0.697,23,33,56,15,41,22,9,3,16,19,102,OKC
UTA,2018-04-18,1,0,OKC95-102UTA,0.417,35,84,0.310,9,29,0.697,23,33,56,15,41,22,9,3,16,19,102,OKC,OKC,2018-04-18,0,1,UTA102-95OKC,0.400,36,90,0.314,11,35,0.667,12,18,46,10,36,22,11,4,13,25,95,UTA
MIN,2018-04-18,0,0,HOU102-82MIN,0.388,31,80,0.278,5,18,0.714,15,21,52,9,43,15,7,7,16,16,82,HOU,HOU,2018-04-18,1,1,MIN82-102HOU,0.365,35,96,0.308,16,52,0.762,16,21,54,12,42,22,8,9,9,17,102,MIN
HOU,2018-04-18,1,1,MIN82-102HOU,0.365,35,96,0.308,16,52,0.762,16,21,54,12,42,22,8,9,9,17,102,MIN,MIN,2018-04-18,0,0,HOU102-82MIN,0.388,31,80,0.278,5,18,0.714,15,21,52,9,43,15,7,7,16,16,82,HOU
CLE,2018-04-18,1,1,IND97-100CLE,0.507,37,73,0.393,11,28,0.682,15,22,30,6,24,15,8,2,15,19,100,IND,IND,2018-04-18,0,0,CLE100-97IND,0.526,41,78,0.273,6,22,0.750,9,12,36,5,31,22,8,3,17,23,97,CLE
IND,2018-04-18,0,0,CLE100-97IND,0.526,41,78,0.273,6,22,0.750,9,12,36,5,31,22,8,3,17,23,97,CLE,CLE,2018-04-18,1,1,IND97-100CLE,0.507,37,73,0.393,11,28,0.682,15,22,30,6,24,15,8,2,15,19,100,IND
GSW,2018-04-19,1,0,SAS97-110GSW,0.512,42,82,0.313,10,32,0.889,16,18,39,4,35,26,8,7,10,16,110,SAS,SAS,2018-04-19,0,1,GSW110-97SAS,0.425,37,87,0.212,7,33,0.800,16,20,41,10,31,19,8,5,12,21,97,GSW
PHI,2018-04-19,1,0,MIA108-128PHI,0.506,41,81,0.529,18,34,0.757,28,37,41,6,35,28,10,5,12,26,128,MIA,MIA,2018-04-19,0,1,PHI128-108MIA,0.452,33,73,0.485,16,33,0.743,26,35,35,5,30,26,7,9,15,30,108,PHI
MIA,2018-04-19,0,1,PHI128-108MIA,0.452,33,73,0.485,16,33,0.743,26,35,35,5,30,26,7,9,15,30,108,PHI,PHI,2018-04-19,1,0,MIA108-128PHI,0.506,41,81,0.529,18,34,0.757,28,37,41,6,35,28,10,5,12,26,128,MIA
NOP,2018-04-19,1,1,POR102-119NOP,0.529,46,87,0.407,11,27,0.842,16,19,38,6,32,27,16,4,13,23,119,POR,POR,2018-04-19,0,0,NOP119-102POR,0.463,37,80,0.290,9,31,0.760,19,25,44,11,33,19,10,3,24,19,102,NOP
POR,2018-04-19,0,0,NOP119-102POR,0.463,37,80,0.290,9,31,0.760,19,25,44,11,33,19,10,3,24,19,102,NOP,NOP,2018-04-19,1,1,POR102-119NOP,0.529,46,87,0.407,11,27,0.842,16,19,38,6,32,27,16,4,13,23,119,POR
SAS,2018-04-19,0,1,GSW110-97SAS,0.425,37,87,0.212,7,33,0.800,16,20,41,10,31,19,8,5,12,21,97,GSW,GSW,2018-04-19,1,0,SAS97-110GSW,0.512,42,82,0.313,10,32,0.889,16,18,39,4,35,26,8,7,10,16,110,SAS
MIL,2018-04-20,1,1,BOS92-116MIL,0.570,45,79,0.485,16,33,0.667,10,15,37,7,30,28,8,12,9,27,116,BOS,BOS,2018-04-20,0,0,MIL116-92BOS,0.400,32,80,0.333,8,24,0.714,20,28,45,17,28,17,3,1,18,15,92,MIL
TOR,2018-04-20,0,0,WAS122-103TOR,0.451,37,82,0.429,12,28,0.895,17,19,34,8,26,20,8,4,19,19,103,WAS,WAS,2018-04-20,1,1,TOR103-122WAS,0.553,47,85,0.435,10,23,0.900,18,20,39,7,32,29,10,8,13,21,122,TOR
WAS,2018-04-20,1,1,TOR103-122WAS,0.553,47,85,0.435,10,23,0.900,18,20,39,7,32,29,10,8,13,21,122,TOR,TOR,2018-04-20,0,0,WAS122-103TOR,0.451,37,82,0.429,12,28,0.895,17,19,34,8,26,20,8,4,19,19,103,WAS
BOS,2018-04-20,0,0,MIL116-92BOS,0.400,32,80,0.333,8,24,0.714,20,28,45,17,28,17,3,1,18,15,92,MIL,MIL,2018-04-20,1,1,BOS92-116MIL,0.570,45,79,0.485,16,33,0.667,10,15,37,7,30,28,8,12,9,27,116,BOS
CLE,2018-04-20,0,0,IND92-90CLE,0.442,34,77,0.313,10,32,0.750,12,16,36,9,27,17,11,3,17,23,90,IND,IND,2018-04-20,1,1,CLE90-92IND,0.466,34,73,0.308,8,26,0.800,16,20,37,7,30,17,8,3,20,22,92,CLE
IND,2018-04-20,1,1,CLE90-92IND,0.466,34,73,0.308,8,26,0.800,16,20,37,7,30,17,8,3,20,22,92,CLE,CLE,2018-04-20,0,0,IND92-90CLE,0.442,34,77,0.313,10,32,0.750,12,16,36,9,27,17,11,3,17,23,90,IND
PHI,2018-04-21,1,0,MIA102-106PHI,0.429,36,84,0.226,7,31,0.771,27,35,57,17,40,22,12,5,27,25,106,MIA,MIA,2018-04-21,0,1,PHI106-102MIA,0.436,41,94,0.368,7,19,0.520,13,25,43,13,30,21,18,4,19,32,102,PHI
NOP,2018-04-21,1,1,POR123-131NOP,0.577,45,78,0.360,9,25,0.821,32,39,43,7,36,28,5,6,14,21,131,POR,POR,2018-04-21,0,0,NOP131-123POR,0.526,50,95,0.370,10,27,0.813,13,16,33,6,27,20,8,2,6,28,123,NOP
UTA,2018-04-21,1,1,OKC102-115UTA,0.525,42,80,0.382,13,34,0.667,18,27,48,13,35,24,12,5,19,20,115,OKC,OKC,2018-04-21,0,0,UTA115-102OKC,0.474,37,78,0.500,14,28,0.737,14,19,33,6,27,17,11,3,17,23,102,UTA
MIA,2018-04-21,0,1,PHI106-102MIA,0.436,41,94,0.368,7,19,0.520,13,25,43,13,30,21,18,4,19,32,102,PHI,PHI,2018-04-21,1,0,MIA102-106PHI,0.429,36,84,0.226,7,31,0.771,27,35,57,17,40,22,12,5,27,25,106,MIA
HOU,2018-04-21,0,0,MIN121-105HOU,0.457,37,81,0.366,15,41,0.640,16,25,39,7,32,18,4,3,10,18,105,MIN,MIN,2018-04-21,1,1,HOU105-121MIN,0.500,45,90,0.556,15,27,0.727,16,22,41,8,33,29,9,3,7,16,121,HOU
POR,2018-04-21,0,0,NOP131-123POR,0.526,50,95,0.370,10,27,0.813,13,16,33,6,27,20,8,2,6,28,123,NOP,NOP,2018-04-21,1,1,POR123-131NOP,0.577,45,78,0.360,9,25,0.821,32,39,43,7,36,28,5,6,14,21,131,POR
MIN,2018-04-21,1,1,HOU105-121MIN,0.500,45,90,0.556,15,27,0.727,16,22,41,8,33,29,9,3,7,16,121,HOU,HOU,2018-04-21,0,0,MIN121-105HOU,0.457,37,81,0.366,15,41,0.640,16,25,39,7,32,18,4,3,10,18,105,MIN
OKC,2018-04-21,0,0,UTA115-102OKC,0.474,37,78,0.500,14,28,0.737,14,19,33,6,27,17,11,3,17,23,102,UTA,UTA,2018-04-21,1,1,OKC102-115UTA,0.525,42,80,0.382,13,34,0.667,18,27,48,13,35,24,12,5,19,20,115,OKC
SAS,2018-04-22,1,1,GSW90-103SAS,0.457,37,81,0.536,15,28,0.737,14,19,34,7,27,20,6,4,8,18,103,GSW,GSW,2018-04-22,0,0,SAS103-90GSW,0.378,34,90,0.250,7,28,0.882,15,17,61,24,37,19,6,2,18,22,90,SAS
GSW,2018-04-22,0,0,SAS103-90GSW,0.378,34,90,0.250,7,28,0.882,15,17,61,24,37,19,6,2,18,22,90,SAS,SAS,2018-04-22,1,1,GSW90-103SAS,0.457,37,81,0.536,15,28,0.737,14,19,34,7,27,20,6,4,8,18,103,GSW
IND,2018-04-22,0,1,CLE104-100IND,0.430,40,93,0.364,12,33,0.615,8,13,47,11,36,25,7,5,9,19,100,CLE,CLE,2018-04-22,1,0,IND100-104CLE,0.449,35,78,0.353,12,34,0.846,22,26,45,8,37,17,4,7,11,18,104,IND
CLE,2018-04-22,1,0,IND100-104CLE,0.449,35,78,0.353,12,34,0.846,22,26,45,8,37,17,4,7,11,18,104,IND,IND,2018-04-22,0,1,CLE104-100IND,0.430,40,93,0.364,12,33,0.615,8,13,47,11,36,25,7,5,9,19,100,CLE
TOR,2018-04-22,0,0,WAS106-98TOR,0.430,34,79,0.389,7,18,0.767,23,30,41,9,32,19,9,7,18,26,98,WAS,WAS,2018-04-22,1,1,TOR98-106WAS,0.459,39,85,0.412,7,17,0.677,21,31,40,9,31,23,10,8,13,23,106,TOR
WAS,2018-04-22,1,1,TOR98-106WAS,0.459,39,85,0.412,7,17,0.677,21,31,40,9,31,23,10,8,13,23,106,TOR,TOR,2018-04-22,0,0,WAS106-98TOR,0.430,34,79,0.389,7,18,0.767,23,30,41,9,32,19,9,7,18,26,98,WAS
BOS,2018-04-22,0,0,MIL104-102BOS,0.414,36,87,0.345,10,29,0.800,20,25,43,16,27,22,6,3,9,21,102,MIL,MIL,2018-04-22,1,1,BOS102-104MIL,0.521,38,73,0.435,10,23,0.750,18,24,36,2,34,24,7,14,10,24,104,BOS
MIL,2018-04-22,1,1,BOS102-104MIL,0.521,38,73,0.435,10,23,0.750,18,24,36,2,34,24,7,14,10,24,104,BOS,BOS,2018-04-22,0,0,MIL104-102BOS,0.414,36,87,0.345,10,29,0.800,20,25,43,16,27,22,6,3,9,21,102,MIL
MIN,2018-04-23,0,1,HOU119-100MIN,0.464,39,84,0.364,8,22,0.609,14,23,48,10,38,23,4,1,17,22,100,HOU,HOU,2018-04-23,1,0,MIN100-119HOU,0.435,40,92,0.372,16,43,0.885,23,26,46,10,36,20,11,6,7,17,119,MIN
HOU,2018-04-23,1,0,MIN100-119HOU,0.435,40,92,0.372,16,43,0.885,23,26,46,10,36,20,11,6,7,17,119,MIN,MIN,2018-04-23,0,1,HOU119-100MIN,0.464,39,84,0.364,8,22,0.609,14,23,48,10,38,23,4,1,17,22,100,HOU
OKC,2018-04-23,0,0,UTA113-96OKC,0.393,33,84,0.192,5,26,0.833,25,30,46,9,37,10,8,6,15,21,96,UTA,UTA,2018-04-23,1,1,OKC96-113UTA,0.451,41,91,0.353,12,34,0.704,19,27,49,10,39,21,7,7,12,23,113,OKC
UTA,2018-04-23,1,1,OKC96-113UTA,0.451,41,91,0.353,12,34,0.704,19,27,49,10,39,21,7,7,12,23,113,OKC,OKC,2018-04-23,0,0,UTA113-96OKC,0.393,33,84,0.192,5,26,0.833,25,30,46,9,37,10,8,6,15,21,96,UTA
MIA,2018-04-24,0,0,PHI104-91MIA,0.386,34,88,0.286,10,35,0.591,13,22,40,10,30,24,7,6,13,32,91,PHI,PHI,2018-04-24,1,1,MIA91-104PHI,0.420,34,81,0.250,7,28,0.806,29,36,53,9,44,27,7,2,15,20,104,MIA
SAS,2018-04-24,0,0,GSW99-91SAS,0.372,32,86,0.233,7,30,0.909,20,22,48,13,35,21,5,0,13,22,91,GSW,GSW,2018-04-24,1,1,SAS91-99GSW,0.446,37,83,0.185,5,27,0.800,20,25,47,8,39,25,5,5,10,19,99,SAS
MIL,2018-04-24,0,0,BOS92-87MIL,0.368,32,87,0.273,9,33,0.700,14,20,37,7,30,21,10,3,11,23,87,BOS,BOS,2018-04-24,1,1,MIL87-92BOS,0.420,29,69,0.323,10,31,0.750,24,32,50,5,45,22,7,7,18,21,92,MIL
BOS,2018-04-24,1,1,MIL87-92BOS,0.420,29,69,0.323,10,31,0.750,24,32,50,5,45,22,7,7,18,21,92,MIL,MIL,2018-04-24,0,0,BOS92-87MIL,0.368,32,87,0.273,9,33,0.700,14,20,37,7,30,21,10,3,11,23,87,BOS
GSW,2018-04-24,1,1,SAS91-99GSW,0.446,37,83,0.185,5,27,0.800,20,25,47,8,39,25,5,5,10,19,99,SAS,SAS,2018-04-24,0,0,GSW99-91SAS,0.372,32,86,0.233,7,30,0.909,20,22,48,13,35,21,5,0,13,22,91,GSW
PHI,2018-04-24,1,1,MIA91-104PHI,0.420,34,81,0.250,7,28,0.806,29,36,53,9,44,27,7,2,15,20,104,MIA,MIA,2018-04-24,0,0,PHI104-91MIA,0.386,34,88,0.286,10,35,0.591,13,22,40,10,30,24,7,6,13,32,91,PHI
CLE,2018-04-25,1,1,IND95-98CLE,0.413,31,75,0.313,10,32,0.963,26,27,37,10,27,16,6,3,14,21,98,IND,IND,2018-04-25,0,0,CLE98-95IND,0.479,34,71,0.300,6,20,0.778,21,27,34,7,27,23,7,3,17,22,95,CLE
MIN,2018-04-25,0,0,HOU122-104MIN,0.506,40,79,0.474,9,19,0.750,15,20,38,5,33,23,2,3,9,18,104,HOU,HOU,2018-04-25,1,1,MIN104-122HOU,0.511,45,88,0.409,18,44,0.737,14,19,40,8,32,29,3,5,5,17,122,MIN
IND,2018-04-25,0,0,CLE98-95IND,0.479,34,71,0.300,6,20,0.778,21,27,34,7,27,23,7,3,17,22,95,CLE,CLE,2018-04-25,1,1,IND95-98CLE,0.413,31,75,0.313,10,32,0.963,26,27,37,10,27,16,6,3,14,21,98,IND
HOU,2018-04-25,1,1,MIN104-122HOU,0.511,45,88,0.409,18,44,0.737,14,19,40,8,32,29,3,5,5,17,122,MIN,MIN,2018-04-25,0,0,HOU122-104MIN,0.506,40,79,0.474,9,19,0.750,15,20,38,5,33,23,2,3,9,18,104,HOU
WAS,2018-04-25,0,0,TOR108-98WAS,0.411,37,90,0.192,5,26,0.864,19,22,50,14,36,21,6,4,18,18,98,TOR,TOR,2018-04-25,1,1,WAS98-108TOR,0.463,38,82,0.440,11,25,0.750,21,28,35,6,29,26,9,5,10,18,108,WAS
TOR,2018-04-25,1,1,WAS98-108TOR,0.463,38,82,0.440,11,25,0.750,21,28,35,6,29,26,9,5,10,18,108,WAS,WAS,2018-04-25,0,0,TOR108-98WAS,0.411,37,90,0.192,5,26,0.864,19,22,50,14,36,21,6,4,18,18,98,TOR
OKC,2018-04-25,1,1,UTA99-107OKC,0.438,39,89,0.429,9,21,0.833,20,24,44,7,37,13,9,3,9,21,107,UTA,UTA,2018-04-25,0,0,OKC107-99UTA,0.407,33,81,0.342,13,38,0.769,20,26,46,10,36,19,5,6,17,24,99,OKC
