Team_A,Date_A,W/L_A,Home/Away_A,Score_A,FG%_A,FGM_A,FGA_A,3P%_A,3PM_A,3PA_A,FT%_A,FTM_A,FTA_A,REB_A,OREB_A,DREB_A,AST_A,STL_A,BLK_A,TOV_A,PF_A,PTS_A,Opponent_A,Team_B,Date_B,W/L_B,Home/Away_B,Score_B,FG%_B,FGM_B,FGA_B,3P%_B,3PM_B,3PA_B,FT%_B,FTM_B,FTA_B,REB_B,OREB_B,DREB_B,AST_B,STL_B,BLK_B,TOV_B,PF_B,PTS_B,Opponent_B
UTA,2018-04-25,0,0,OKC107-99UTA,0.407,33,81,0.342,13,38,0.769,20,26,46,10,36,19,5,6,17,24,99,OKC,OKC,2018-04-25,1,1,UTA99-107OKC,0.438,39,89,0.429,9,21,0.833,20,24,44,7,37,13,9,3,9,21,107,UTA
BOS,2018-04-26,0,0,MIL97-86BOS,0.370,30,81,0.278,10,36,0.842,16,19,39,6,33,18,3,3,9,19,86,MIL,MIL,2018-04-26,1,1,BOS86-97MIL,0.507,38,75,0.308,8,26,0.619,13,21,48,7,41,19,6,3,11,16,97,BOS
MIL,2018-04-26,1,1,BOS86-97MIL,0.507,38,75,0.308,8,26,0.619,13,21,48,7,41,19,6,3,11,16,97,BOS,BOS,2018-04-26,0,0,MIL97-86BOS,0.370,30,81,0.278,10,36,0.842,16,19,39,6,33,18,3,3,9,19,86,MIL
TOR,2018-04-27,1,0,WAS92-102TOR,0.444,40,90,0.280,7,25,0.789,15,19,47,16,31,18,8,6,7,20,102,WAS,WAS,2018-04-27,0,1,TOR102-92WAS,0.405,32,79,0.364,8,22,0.952,20,21,42,11,31,12,3,5,14,19,92,TOR
UTA,2018-04-27,1,1,OKC91-96UTA,0.451,37,82,0.385,10,26,0.522,12,23,40,11,29,16,9,5,13,17,96,OKC,OKC,2018-04-27,0,0,UTA96-91OKC,0.398,37,93,0.294,10,34,0.538,7,13,49,15,34,20,6,4,13,21,91,UTA
IND,2018-04-27,1,1,CLE87-121IND,0.563,49,87,0.500,15,30,0.571,8,14,45,9,36,27,9,1,7,18,121,CLE,CLE,2018-04-27,0,0,IND121-87CLE,0.418,33,79,0.316,12,38,0.563,9,16,33,7,26,16,4,2,15,17,87,IND
OKC,2018-04-27,0,0,UTA96-91OKC,0.398,37,93,0.294,10,34,0.538,7,13,49,15,34,20,6,4,13,21,91,UTA,UTA,2018-04-27,1,1,OKC91-96UTA,0.451,37,82,0.385,10,26,0.522,12,23,40,11,29,16,9,5,13,17,96,OKC
CLE,2018-04-27,0,0,IND121-87CLE,0.418,33,79,0.316,12,38,0.563,9,16,33,7,26,16,4,2,15,17,87,IND,IND,2018-04-27,1,1,CLE87-121IND,0.563,49,87,0.500,15,30,0.571,8,14,45,9,36,27,9,1,7,18,121,CLE
WAS,2018-04-27,0,1,TOR102-92WAS,0.405,32,79,0.364,8,22,0.952,20,21,42,11,31,12,3,5,14,19,92,TOR,TOR,2018-04-27,1,0,WAS92-102TOR,0.444,40,90,0.280,7,25,0.789,15,19,47,16,31,18,8,6,7,20,102,WAS
BOS,2018-04-28,1,1,MIL96-112BOS,0.536,45,84,0.346,9,26,0.619,13,21,42,11,31,28,9,4,15,23,112,MIL,MIL,2018-04-28,0,0,BOS112-96MIL,0.473,35,74,0.333,9,27,0.944,17,18,32,4,28,21,4,3,16,20,96,BOS
MIL,2018-04-28,0,0,BOS112-96MIL,0.473,35,74,0.333,9,27,0.944,17,18,32,4,28,21,4,3,16,20,96,BOS,BOS,2018-04-28,1,1,MIL96-112BOS,0.536,45,84,0.346,9,26,0.619,13,21,42,11,31,28,9,4,15,23,112,MIL
GSW,2018-04-28,1,1,NOP101-123GSW,0.484,44,91,0.407,11,27,0.750,24,32,57,13,44,33,8,10,14,16,123,NOP,NOP,2018-04-28,0,0,GSW123-101NOP,0.438,42,96,0.320,8,25,0.818,9,11,42,7,35,24,7,3,12,24,101,GSW
NOP,2018-04-28,0,0,GSW123-101NOP,0.438,42,96,0.320,8,25,0.818,9,11,42,7,35,24,7,3,12,24,101,GSW,GSW,2018-04-28,1,1,NOP101-123GSW,0.484,44,91,0.407,11,27,0.750,24,32,57,13,44,33,8,10,14,16,123,NOP
HOU,2018-04-29,1,1,UTA96-110HOU,0.451,37,82,0.531,17,32,0.792,19,24,43,8,35,18,10,5,15,21,110,UTA,UTA,2018-04-29,0,0,HOU110-96UTA,0.500,38,76,0.318,7,22,0.591,13,22,37,6,31,20,11,3,18,20,96,HOU
UTA,2018-04-29,0,0,HOU110-96UTA,0.500,38,76,0.318,7,22,0.591,13,22,37,6,31,20,11,3,18,20,96,HOU,HOU,2018-04-29,1,1,UTA96-110HOU,0.451,37,82,0.531,17,32,0.792,19,24,43,8,35,18,10,5,15,21,110,UTA
CLE,2018-04-29,1,1,IND101-105CLE,0.432,32,74,0.345,10,29,0.775,31,40,44,15,29,18,6,4,12,21,105,IND,IND,2018-04-29,0,0,CLE105-101IND,0.450,36,80,0.323,10,31,0.792,19,24,37,10,27,15,6,0,11,28,101,CLE
IND,2018-04-29,0,0,CLE105-101IND,0.450,36,80,0.323,10,31,0.792,19,24,37,10,27,15,6,0,11,28,101,CLE,CLE,2018-04-29,1,1,IND101-105CLE,0.432,32,74,0.345,10,29,0.775,31,40,44,15,29,18,6,4,12,21,105,IND
PHI,2018-04-30,0,0,BOS117-101PHI,0.422,35,83,0.192,5,26,0.743,26,35,45,11,34,22,7,2,12,19,101,BOS,BOS,2018-04-30,1,1,PHI101-117BOS,0.482,41,85,0.486,17,35,0.947,18,19,36,5,31,27,4,4,10,21,117,PHI
BOS,2018-04-30,1,1,PHI101-117BOS,0.482,41,85,0.486,17,35,0.947,18,19,36,5,31,27,4,4,10,21,117,PHI,PHI,2018-04-30,0,0,BOS117-101PHI,0.422,35,83,0.192,5,26,0.743,26,35,45,11,34,22,7,2,12,19,101,BOS
GSW,2018-05-01,1,1,NOP116-121GSW,0.473,43,91,0.325,13,40,0.815,22,27,49,7,42,36,10,8,16,18,121,NOP,NOP,2018-05-01,0,0,GSW121-116NOP,0.457,48,105,0.351,13,37,0.778,7,9,46,10,36,33,12,5,14,19,116,GSW
CLE,2018-05-01,1,0,TOR112-113CLE,0.412,42,102,0.400,14,35,0.714,15,21,45,13,32,25,5,5,6,23,113,TOR,TOR,2018-05-01,0,1,CLE113-112TOR,0.429,39,91,0.321,9,28,0.806,25,31,50,15,35,26,2,6,14,22,112,CLE
TOR,2018-05-01,0,1,CLE113-112TOR,0.429,39,91,0.321,9,28,0.806,25,31,50,15,35,26,2,6,14,22,112,CLE,CLE,2018-05-01,1,0,TOR112-113CLE,0.412,42,102,0.400,14,35,0.714,15,21,45,13,32,25,5,5,6,23,113,TOR
NOP,2018-05-01,0,0,GSW121-116NOP,0.457,48,105,0.351,13,37,0.778,7,9,46,10,36,33,12,5,14,19,116,GSW,GSW,2018-05-01,1,1,NOP116-121GSW,0.473,43,91,0.325,13,40,0.815,22,27,49,7,42,36,10,8,16,18,121,NOP
UTA,2018-05-02,1,0,HOU108-116UTA,0.518,43,83,0.469,15,32,0.600,15,25,48,5,43,26,4,5,17,24,116,HOU,HOU,2018-05-02,0,1,UTA116-108HOU,0.400,38,95,0.270,10,37,0.815,22,27,49,11,38,22,11,7,8,21,108,UTA
HOU,2018-05-02,0,1,UTA116-108HOU,0.400,38,95,0.270,10,37,0.815,22,27,49,11,38,22,11,7,8,21,108,UTA,UTA,2018-05-02,1,0,HOU108-116UTA,0.518,43,83,0.469,15,32,0.600,15,25,48,5,43,26,4,5,17,24,116,HOU
BOS,2018-05-03,1,1,PHI103-108BOS,0.451,37,82,0.417,15,36,0.792,19,24,41,5,36,23,7,3,9,16,108,PHI,PHI,2018-05-03,0,0,BOS108-103PHI,0.435,40,92,0.394,13,33,0.714,10,14,49,16,33,30,7,4,12,21,103,BOS
TOR,2018-05-03,0,1,CLE128-110TOR,0.543,44,81,0.400,12,30,0.909,10,11,35,5,30,26,2,2,11,24,110,CLE,CLE,2018-05-03,1,0,TOR110-128CLE,0.595,50,84,0.423,11,26,0.739,17,23,34,5,29,25,5,3,3,14,128,TOR
CLE,2018-05-03,1,0,TOR110-128CLE,0.595,50,84,0.423,11,26,0.739,17,23,34,5,29,25,5,3,3,14,128,TOR,TOR,2018-05-03,0,1,CLE128-110TOR,0.543,44,81,0.400,12,30,0.909,10,11,35,5,30,26,2,2,11,24,110,CLE
PHI,2018-05-03,0,0,BOS108-103PHI,0.435,40,92,0.394,13,33,0.714,10,14,49,16,33,30,7,4,12,21,103,BOS,BOS,2018-05-03,1,1,PHI103-108BOS,0.451,37,82,0.417,15,36,0.792,19,24,41,5,36,23,7,3,9,16,108,PHI
GSW,2018-05-04,0,0,NOP119-100GSW,0.380,35,92,0.290,9,31,0.808,21,26,44,10,34,22,11,4,12,17,100,NOP,NOP,2018-05-04,1,1,GSW100-119NOP,0.500,48,96,0.452,14,31,0.750,9,12,54,10,44,36,7,3,15,20,119,GSW
NOP,2018-05-04,1,1,GSW100-119NOP,0.500,48,96,0.452,14,31,0.750,9,12,54,10,44,36,7,3,15,20,119,GSW,GSW,2018-05-04,0,0,NOP119-100GSW,0.380,35,92,0.290,9,31,0.808,21,26,44,10,34,22,11,4,12,17,100,NOP
UTA,2018-05-04,0,1,HOU113-92UTA,0.417,35,84,0.379,11,29,0.733,11,15,43,5,38,17,3,4,16,19,92,HOU,HOU,2018-05-04,1,0,UTA92-113HOU,0.488,42,86,0.306,11,36,0.900,18,20,41,3,38,26,8,7,9,19,113,UTA
HOU,2018-05-04,1,0,UTA92-113HOU,0.488,42,86,0.306,11,36,0.900,18,20,41,3,38,26,8,7,9,19,113,UTA,UTA,2018-05-04,0,1,HOU113-92UTA,0.417,35,84,0.379,11,29,0.733,11,15,43,5,38,17,3,4,16,19,92,HOU
PHI,2018-05-05,0,1,BOS101-98PHI,0.392,38,97,0.300,9,30,0.722,13,18,50,13,37,23,8,5,15,14,98,BOS,BOS,2018-05-05,1,0,PHI98-101BOS,0.451,41,91,0.263,10,38,0.643,9,14,49,9,40,19,9,7,13,20,101,PHI
BOS,2018-05-05,1,0,PHI98-101BOS,0.451,41,91,0.263,10,38,0.643,9,14,49,9,40,19,9,7,13,20,101,PHI,PHI,2018-05-05,0,1,BOS101-98PHI,0.392,38,97,0.300,9,30,0.722,13,18,50,13,37,23,8,5,15,14,98,BOS
CLE,2018-05-05,1,1,TOR103-105CLE,0.481,38,79,0.360,9,25,0.800,20,25,36,6,30,18,7,4,12,19,105,TOR,TOR,2018-05-05,0,0,CLE105-103TOR,0.467,35,75,0.394,13,33,0.800,20,25,41,12,29,14,5,11,17,28,103,CLE
TOR,2018-05-05,0,0,CLE105-103TOR,0.467,35,75,0.394,13,33,0.800,20,25,41,12,29,14,5,11,17,28,103,CLE,CLE,2018-05-05,1,1,TOR103-105CLE,0.481,38,79,0.360,9,25,0.800,20,25,36,6,30,18,7,4,12,19,105,TOR
GSW,2018-05-06,1,0,NOP92-118GSW,0.484,46,95,0.333,11,33,0.833,15,18,45,5,40,28,11,5,11,20,118,NOP,NOP,2018-05-06,0,1,GSW118-92NOP,0.364,32,88,0.154,4,26,0.800,24,30,51,10,41,17,7,4,19,21,92,GSW
NOP,2018-05-06,0,1,GSW118-92NOP,0.364,32,88,0.154,4,26,0.800,24,30,51,10,41,17,7,4,19,21,92,GSW,GSW,2018-05-06,1,0,NOP92-118GSW,0.484,46,95,0.333,11,33,0.833,15,18,45,5,40,28,11,5,11,20,118,NOP
HOU,2018-05-06,1,0,UTA87-100HOU,0.420,37,88,0.263,10,38,0.941,16,17,49,9,40,15,11,9,13,21,100,UTA,UTA,2018-05-06,0,1,HOU100-87UTA,0.386,32,83,0.241,7,29,0.800,16,20,45,8,37,16,8,5,17,21,87,HOU
UTA,2018-05-06,0,1,HOU100-87UTA,0.386,32,83,0.241,7,29,0.800,16,20,45,8,37,16,8,5,17,21,87,HOU,HOU,2018-05-06,1,0,UTA87-100HOU,0.420,37,88,0.263,10,38,0.941,16,17,49,9,40,15,11,9,13,21,100,UTA
BOS,2018-05-07,0,0,PHI103-92BOS,0.413,31,75,0.344,11,32,0.731,19,26,42,6,36,16,4,10,15,28,92,PHI,PHI,2018-05-07,1,1,BOS92-103PHI,0.404,38,94,0.269,7,26,0.769,20,26,53,16,37,24,6,3,10,23,103,BOS
PHI,2018-05-07,1,1,BOS92-103PHI,0.404,38,94,0.269,7,26,0.769,20,26,53,16,37,24,6,3,10,23,103,BOS,BOS,2018-05-07,0,0,PHI103-92BOS,0.413,31,75,0.344,11,32,0.731,19,26,42,6,36,16,4,10,15,28,92,PHI
CLE,2018-05-07,1,1,TOR93-128CLE,0.595,50,84,0.462,12,26,0.800,16,20,37,6,31,29,9,5,11,21,128,TOR,TOR,2018-05-07,0,0,CLE128-93TOR,0.456,36,79,0.267,4,15,0.739,17,23,32,9,23,19,3,5,13,24,93,CLE
TOR,2018-05-07,0,0,CLE128-93TOR,0.456,36,79,0.267,4,15,0.739,17,23,32,9,23,19,3,5,13,24,93,CLE,CLE,2018-05-07,1,1,TOR93-128CLE,0.595,50,84,0.462,12,26,0.800,16,20,37,6,31,29,9,5,11,21,128,TOR
GSW,2018-05-08,1,1,NOP104-113GSW,0.485,48,99,0.259,7,27,0.833,10,12,52,11,41,35,10,2,13,18,113,NOP,NOP,2018-05-08,0,0,GSW113-104NOP,0.466,41,88,0.417,10,24,0.750,12,16,44,4,40,26,7,4,14,12,104,GSW
UTA,2018-05-08,0,0,HOU112-102UTA,0.469,38,81,0.357,10,28,0.762,16,21,41,11,30,24,5,5,12,18,102,HOU,HOU,2018-05-08,1,1,UTA102-112HOU,0.482,40,83,0.462,18,39,0.824,14,17,40,6,34,21,10,8,10,18,112,UTA
HOU,2018-05-08,1,1,UTA102-112HOU,0.482,40,83,0.462,18,39,0.824,14,17,40,6,34,21,10,8,10,18,112,UTA,UTA,2018-05-08,0,0,HOU112-102UTA,0.469,38,81,0.357,10,28,0.762,16,21,41,11,30,24,5,5,12,18,102,HOU
NOP,2018-05-08,0,0,GSW113-104NOP,0.466,41,88,0.417,10,24,0.750,12,16,44,4,40,26,7,4,14,12,104,GSW,GSW,2018-05-08,1,1,NOP104-113GSW,0.485,48,99,0.259,7,27,0.833,10,12,52,11,41,35,10,2,13,18,113,NOP
PHI,2018-05-09,0,0,BOS114-112PHI,0.488,40,82,0.381,8,21,0.774,24,31,48,12,36,26,5,6,17,31,112,BOS,BOS,2018-05-09,1,1,PHI112-114BOS,0.447,38,85,0.350,7,20,0.756,31,41,39,13,26,18,12,3,11,24,114,PHI
BOS,2018-05-09,1,1,PHI112-114BOS,0.447,38,85,0.350,7,20,0.756,31,41,39,13,26,18,12,3,11,24,114,PHI,PHI,2018-05-09,0,0,BOS114-112PHI,0.488,40,82,0.381,8,21,0.774,24,31,48,12,36,26,5,6,17,31,112,BOS
CLE,2018-05-13,0,0,BOS108-83CLE,0.360,31,86,0.154,4,26,0.850,17,20,40,9,31,18,4,3,10,12,83,BOS,BOS,2018-05-13,1,1,CLE83-108BOS,0.512,43,84,0.367,11,30,0.846,11,13,48,6,42,27,6,4,11,17,108,CLE
BOS,2018-05-13,1,1,CLE83-108BOS,0.512,43,84,0.367,11,30,0.846,11,13,48,6,42,27,6,4,11,17,108,CLE,CLE,2018-05-13,0,0,BOS108-83CLE,0.360,31,86,0.154,4,26,0.850,17,20,40,9,31,18,4,3,10,12,83,BOS
GSW,2018-05-14,1,0,HOU106-119GSW,0.525,42,80,0.394,13,33,0.880,22,25,37,3,34,24,9,4,9,17,119,HOU,HOU,2018-05-14,0,1,GSW119-106HOU,0.459,39,85,0.351,13,37,0.714,15,21,42,7,35,18,5,3,16,23,106,GSW
HOU,2018-05-14,0,1,GSW119-106HOU,0.459,39,85,0.351,13,37,0.714,15,21,42,7,35,18,5,3,16,23,106,GSW,GSW,2018-05-14,1,0,HOU106-119GSW,0.525,42,80,0.394,13,33,0.880,22,25,37,3,34,24,9,4,9,17,119,HOU
CLE,2018-05-15,0,0,BOS107-94CLE,0.463,37,80,0.323,10,31,0.588,10,17,45,8,37,18,2,5,15,21,94,BOS,BOS,2018-05-15,1,1,CLE94-107BOS,0.435,40,92,0.323,10,31,0.850,17,20,46,11,35,24,8,2,6,18,107,CLE
BOS,2018-05-15,1,1,CLE94-107BOS,0.435,40,92,0.323,10,31,0.850,17,20,46,11,35,24,8,2,6,18,107,CLE,CLE,2018-05-15,0,0,BOS107-94CLE,0.463,37,80,0.323,10,31,0.588,10,17,45,8,37,18,2,5,15,21,94,BOS
GSW,2018-05-16,0,0,HOU127-105GSW,0.459,39,85,0.300,9,30,0.818,18,22,36,9,27,21,6,4,15,22,105,HOU,HOU,2018-05-16,1,1,GSW105-127HOU,0.511,45,88,0.381,16,42,0.778,21,27,47,10,37,23,8,1,14,24,127,GSW
HOU,2018-05-16,1,1,GSW105-127HOU,0.511,45,88,0.381,16,42,0.778,21,27,47,10,37,23,8,1,14,24,127,GSW,GSW,2018-05-16,0,0,HOU127-105GSW,0.459,39,85,0.300,9,30,0.818,18,22,36,9,27,21,6,4,15,22,105,HOU
BOS,2018-05-19,0,0,CLE116-86BOS,0.392,29,74,0.273,6,22,0.786,22,28,34,6,28,16,4,4,15,25,86,CLE,CLE,2018-05-19,1,1,BOS86-116CLE,0.487,37,76,0.500,17,34,0.833,25,30,45,8,37,23,9,3,15,23,116,BOS
CLE,2018-05-19,1,1,BOS86-116CLE,0.487,37,76,0.500,17,34,0.833,25,30,45,8,37,23,9,3,15,23,116,BOS,BOS,2018-05-19,0,0,CLE116-86BOS,0.392,29,74,0.273,6,22,0.786,22,28,34,6,28,16,4,4,15,25,86,CLE
GSW,2018-05-20,1,1,HOU85-126GSW,0.522,48,92,0.406,13,32,0.944,17,18,49,11,38,20,11,7,8,16,126,HOU,HOU,2018-05-20,0,0,GSW126-85HOU,0.395,32,81,0.324,11,34,0.769,10,13,41,10,31,19,3,5,20,19,85,GSW
HOU,2018-05-20,0,0,GSW126-85HOU,0.395,32,81,0.324,11,34,0.769,10,13,41,10,31,19,3,5,20,19,85,GSW,GSW,2018-05-20,1,1,HOU85-126GSW,0.522,48,92,0.406,13,32,0.944,17,18,49,11,38,20,11,7,8,16,126,HOU
BOS,2018-05-21,0,0,CLE111-102BOS,0.412,35,85,0.321,9,28,0.767,23,30,37,9,28,21,9,3,10,26,102,CLE,CLE,2018-05-21,1,1,BOS102-111CLE,0.506,41,81,0.348,8,23,0.724,21,29,47,9,38,15,6,8,19,23,111,BOS
CLE,2018-05-21,1,1,BOS102-111CLE,0.506,41,81,0.348,8,23,0.724,21,29,47,9,38,15,6,8,19,23,111,BOS,BOS,2018-05-21,0,0,CLE111-102BOS,0.412,35,85,0.321,9,28,0.767,23,30,37,9,28,21,9,3,10,26,102,CLE
HOU,2018-05-22,1,0,GSW92-95HOU,0.390,30,77,0.316,12,38,0.852,23,27,41,8,33,12,7,9,13,19,95,GSW,GSW,2018-05-22,0,1,HOU95-92GSW,0.393,35,89,0.333,9,27,0.929,13,14,49,16,33,14,6,3,16,24,92,HOU
GSW,2018-05-22,0,1,HOU95-92GSW,0.393,35,89,0.333,9,27,0.929,13,14,49,16,33,14,6,3,16,24,92,HOU,HOU,2018-05-22,1,0,GSW92-95HOU,0.390,30,77,0.316,12,38,0.852,23,27,41,8,33,12,7,9,13,19,95,GSW
BOS,2018-05-23,1,1,CLE83-96BOS,0.365,31,85,0.333,13,39,0.913,21,23,45,7,38,18,10,6,10,19,96,CLE,CLE,2018-05-23,0,0,BOS96-83CLE,0.419,31,74,0.265,9,34,0.632,12,19,39,3,36,17,3,7,15,19,83,BOS
CLE,2018-05-23,0,0,BOS96-83CLE,0.419,31,74,0.265,9,34,0.632,12,19,39,3,36,17,3,7,15,19,83,BOS,BOS,2018-05-23,1,1,CLE83-96BOS,0.365,31,85,0.333,13,39,0.913,21,23,45,7,38,18,10,6,10,19,96,CLE
GSW,2018-05-24,0,0,HOU98-94GSW,0.444,32,72,0.385,10,26,0.870,20,23,41,4,37,18,7,1,18,21,94,HOU,HOU,2018-05-24,1,1,GSW94-98HOU,0.372,29,78,0.302,13,43,0.844,27,32,40,8,32,12,10,3,12,19,98,GSW
HOU,2018-05-24,1,1,GSW94-98HOU,0.372,29,78,0.302,13,43,0.844,27,32,40,8,32,12,10,3,12,19,98,GSW,GSW,2018-05-24,0,0,HOU98-94GSW,0.444,32,72,0.385,10,26,0.870,20,23,41,4,37,18,7,1,18,21,94,HOU
BOS,2018-05-25,0,0,CLE109-99BOS,0.514,38,74,0.429,12,28,0.550,11,20,31,5,26,25,5,2,14,18,99,CLE,CLE,2018-05-25,1,1,BOS99-109CLE,0.471,41,87,0.391,9,23,0.818,18,22,44,15,29,16,8,9,11,19,109,BOS
CLE,2018-05-25,1,1,BOS99-109CLE,0.471,41,87,0.391,9,23,0.818,18,22,44,15,29,16,8,9,11,19,109,BOS,BOS,2018-05-25,0,0,CLE109-99BOS,0.514,38,74,0.429,12,28,0.550,11,20,31,5,26,25,5,2,14,18,99,CLE
HOU,2018-05-26,0,0,GSW115-86HOU,0.403,31,77,0.385,15,39,0.529,9,17,38,7,31,13,8,2,21,16,86,GSW,GSW,2018-05-26,1,1,HOU86-115GSW,0.494,43,87,0.421,16,38,0.684,13,19,47,13,34,26,11,10,12,17,115,HOU
GSW,2018-05-26,1,1,HOU86-115GSW,0.494,43,87,0.421,16,38,0.684,13,19,47,13,34,26,11,10,12,17,115,HOU,HOU,2018-05-26,0,0,GSW115-86HOU,0.403,31,77,0.385,15,39,0.529,9,17,38,7,31,13,8,2,21,16,86,GSW
CLE,2018-05-27,1,0,BOS79-87CLE,0.455,30,66,0.257,9,35,0.720,18,25,41,2,39,15,2,4,13,21,87,BOS,BOS,2018-05-27,0,1,CLE87-79BOS,0.341,29,85,0.179,7,39,0.737,14,19,42,11,31,18,6,0,6,20,79,CLE
BOS,2018-05-27,0,1,CLE87-79BOS,0.341,29,85,0.179,7,39,0.737,14,19,42,11,31,18,6,0,6,20,79,CLE,CLE,2018-05-27,1,0,BOS79-87CLE,0.455,30,66,0.257,9,35,0.720,18,25,41,2,39,15,2,4,13,21,87,BOS
HOU,2018-05-28,0,1,GSW101-92HOU,0.400,36,90,0.159,7,44,0.591,13,22,44,17,27,17,13,3,12,17,92,GSW,GSW,2018-05-28,1,0,HOU92-101GSW,0.488,39,80,0.410,16,39,0.500,7,14,42,11,31,25,9,7,17,22,101,HOU
GSW,2018-05-28,1,0,HOU92-101GSW,0.488,39,80,0.410,16,39,0.500,7,14,42,11,31,25,9,7,17,22,101,HOU,HOU,2018-05-28,0,1,GSW101-92HOU,0.400,36,90,0.159,7,44,0.591,13,22,44,17,27,17,13,3,12,17,92,GSW
GSW,2018-05-31,1,1,CLE114-124GSW,0.511,46,90,0.361,13,36,0.950,19,20,38,4,34,31,10,6,8,18,124,CLE,CLE,2018-05-31,0,0,GSW124-114CLE,0.444,44,99,0.270,10,37,0.727,16,22,53,19,34,18,5,3,12,18,114,GSW
CLE,2018-05-31,0,0,GSW124-114CLE,0.444,44,99,0.270,10,37,0.727,16,22,53,19,34,18,5,3,12,18,114,GSW,GSW,2018-05-31,1,1,CLE114-124GSW,0.511,46,90,0.361,13,36,0.950,19,20,38,4,34,31,10,6,8,18,124,CLE
CLE,2018-06-03,0,0,GSW122-103CLE,0.411,37,90,0.333,9,27,0.769,20,26,42,16,26,25,9,4,11,15,103,GSW,GSW,2018-06-03,1,1,CLE103-122GSW,0.573,47,82,0.417,15,36,0.619,13,21,41,7,34,28,3,8,12,25,122,CLE
GSW,2018-06-03,1,1,CLE103-122GSW,0.573,47,82,0.417,15,36,0.619,13,21,41,7,34,28,3,8,12,25,122,CLE,CLE,2018-06-03,0,0,GSW122-103CLE,0.411,37,90,0.333,9,27,0.769,20,26,42,16,26,25,9,4,11,15,103,GSW
CLE,2018-06-06,0,1,GSW110-102CLE,0.435,40,92,0.290,9,31,0.765,13,17,47,15,32,20,6,4,14,18,102,GSW,GSW,2018-06-06,1,0,CLE102-110GSW,0.519,42,81,0.346,9,26,0.895,17,19,37,6,31,27,6,5,11,20,110,CLE
GSW,2018-06-06,1,0,CLE102-110GSW,0.519,42,81,0.346,9,26,0.895,17,19,37,6,31,27,6,5,11,20,110,CLE,CLE,2018-06-06,0,1,GSW110-102CLE,0.435,40,92,0.290,9,31,0.765,13,17,47,15,32,20,6,4,14,18,102,GSW
GSW,2018-06-08,1,0,CLE85-108GSW,0.453,39,86,0.368,14,38,1.000,16,16,44,10,34,25,7,13,10,24,108,CLE,CLE,2018-06-08,0,1,GSW108-85CLE,0.345,30,87,0.296,8,27,0.680,17,25,44,17,27,21,5,5,11,22,85,GSW
CLE,2018-06-08,0,1,GSW108-85CLE,0.345,30,87,0.296,8,27,0.680,17,25,44,17,27,21,5,5,11,22,85,GSW,GSW,2018-06-08,1,0,CLE85-108GSW,0.453,39,86,0.368,14,38,1.000,16,16,44,10,34,25,7,13,10,24,108,CLE
